,cash,mv,nav
2018-09-28,1202530.9589814632,198927.45247894325,1401458.4114604064
2018-10-01,1203731.1022196678,199840.54875146854,1403571.6509711363
2018-10-02,1203731.1022196678,196001.3978971067,1399732.5001167743
2018-10-03,1203731.1022196678,197357.03268229464,1401088.1349019625
2018-10-04,1203731.1022196678,193636.79905159472,1397367.9012712624
2018-10-05,1205052.6032533627,189610.19842946972,1394662.8016828324
2018-10-08,1205052.6032533627,186350.71192068118,1391403.3151740439
2018-10-09,1205052.6032533627,187221.07284604298,1392273.6760994056
2018-10-10,1203445.4472115792,173762.78409734604,1377208.2313089252
2018-10-11,1202490.4843063727,165269.8094510432,1367760.2937574158
2018-10-12,1202490.4843063727,170324.20978216463,1372814.6940885372
2018-10-15,1202490.4843063727,166944.07546543307,1369434.5597718058
2018-10-16,1202490.4843063727,176065.02421653556,1378555.5085229082
2018-10-17,1202490.4843063727,173975.21701475224,1376465.701321125
2018-10-18,1202490.4843063727,168236.93606785778,1370727.4203742305
2018-10-19,1203093.9897520575,163269.0581548549,1366363.0479069124
2018-10-22,1203093.9897520575,163440.23941075054,1366534.229162808
2018-10-23,1203093.9897520575,157975.4801285633,1361069.4698806207
2018-10-24,1202979.2513044656,143888.8468986147,1346868.0982030802
2018-10-25,1202979.2513044656,152882.7288410504,1355861.9801455159
2018-10-26,1204657.703907119,146320.68056737498,1350978.384474494
2018-10-29,1204943.0532504288,144221.1266150035,1349164.1798654322
2018-10-30,1204943.0532504288,151194.31406168983,1356137.3673121186
2018-10-31,1469094.3368289664,-112956.96951685105,1356137.3673121154
2018-11-01,1469094.3368289664,-123346.12618899888,1345748.2106399676
2018-11-02,1469094.3368289664,-123863.95635959151,1345230.3804693748
2018-11-05,1470326.7042303996,-124549.57213454331,1345777.1320958564
2018-11-06,1470326.7042303996,-123868.10145224852,1346458.6027781512
2018-11-07,1470088.9767409672,-121433.91876487288,1348655.0579760943
2018-11-08,1469890.3913255823,-116850.66674240874,1353039.7245831736
2018-11-09,1469890.3913255823,-113422.83307414457,1356467.5582514377
2018-11-12,1469890.3913255823,-110199.42911601508,1359690.9622095672
2018-11-13,1469890.3913255823,-112928.14814938225,1356962.2431762
2018-11-14,1469890.3913255823,-114376.48031331302,1355513.9110122693
2018-11-15,1469890.3913255823,-114514.26668247614,1355376.1246431062
2018-11-16,1469890.3913255823,-115220.75711871224,1354669.63420687
2018-11-19,1469890.3913255823,-116828.14891628904,1353062.2424092933
2018-11-20,1469890.3913255823,-116224.8240792871,1353665.5672462953
2018-11-21,1469890.3913255823,-120134.98017935452,1349755.4111462277
2018-11-23,1469890.3913255823,-119283.48892570051,1350606.9023998817
2018-11-26,1469890.3913255823,-120652.00095379056,1349238.3903717918
2018-11-27,1469724.1113191948,-117740.69427802539,1351983.4170411695
2018-11-28,1469724.1113191948,-118057.55752229702,1351666.5537968976
2018-11-29,1471994.7101703715,-118363.08580692494,1353631.6243634466
2018-11-30,1411678.0998340182,-58046.47547057309,1353631.624363445
2018-12-03,1414008.666095016,-63280.0402182735,1350728.6258767426
2018-12-04,1414008.666095016,-58757.19297925148,1355251.4731157646
2018-12-06,1414008.666095016,-55878.9652039264,1358129.7008910896
2018-12-07,1414008.666095016,-57499.5552186494,1356509.1108763667
2018-12-10,1415347.3514597204,-53511.2101877142,1361836.141272006
2018-12-11,1415347.3514597204,-51759.34700529619,1363588.0044544241
2018-12-12,1415347.3514597204,-53398.620049748606,1361948.7314099718
2018-12-13,1414773.082333932,-50684.144774016095,1364088.937559916
2018-12-14,1414773.082333932,-50406.95770948182,1364366.1246244502
2018-12-17,1414773.082333932,-52145.061080046384,1362628.0212538855
2018-12-18,1414773.082333932,-50150.64347970542,1364622.4388542266
2018-12-19,1414773.082333932,-47104.47196709853,1367668.6103668334
2018-12-20,1413078.6766803702,-46018.6863327955,1367059.9903475747
2018-12-21,1414436.8615079522,-46019.99878853538,1368416.8627194169
2018-12-24,1414436.8615079522,-46951.64435414875,1367485.2171538034
2018-12-26,1414436.8615079522,-47126.02599865167,1367310.8355093005
2018-12-27,1414436.8615079522,-45910.519371862305,1368526.34213609
2018-12-28,1415471.9931287232,-48292.689189937504,1367179.3039387858
2018-12-31,2135519.136235152,-768339.8322963646,1367179.3039387874
2019-01-02,2133223.714665397,-774644.9128139437,1358578.8018514533
2019-01-03,2133223.714665397,-770715.5170793029,1362508.197586094
2019-01-04,2133223.714665397,-790386.7020545158,1342837.0126108811
2019-01-07,2133223.714665397,-798905.7380046678,1334317.9766607294
2019-01-08,2133223.714665397,-804499.0434169626,1328724.6712484346
2019-01-09,2133223.714665397,-811406.1559832128,1321817.5586821842
2019-01-10,2133223.714665397,-813161.4301061865,1320062.2845592105
2019-01-11,2133223.714665397,-813714.5056229252,1319509.2090424718
2019-01-14,2133223.714665397,-810927.5300126602,1322296.1846527369
2019-01-15,2133223.714665397,-813223.692365862,1320000.022299535
2019-01-16,2133223.714665397,-816377.0001219421,1316846.7145434548
2019-01-17,2133223.714665397,-819916.831517921,1313306.8831474762
2019-01-18,2133223.714665397,-827947.2637646705,1305276.4509007265
2019-01-22,2132971.7605069987,-816936.8836299549,1316034.8768770439
2019-01-23,2132971.7605069987,-816380.8455404196,1316590.914966579
2019-01-24,2132971.7605069987,-820815.9147208206,1312155.845786178
2019-01-25,2132971.7605069987,-829751.7351698979,1303220.025337101
2019-01-28,2132421.3612790992,-827367.716983173,1305053.6442959262
2019-01-29,2132421.3612790992,-828878.2735930745,1303543.0876860246
2019-01-30,2132421.3612790992,-836007.9550167631,1296413.4062623363
2019-01-31,1570838.9711582758,-274425.56489594333,1296413.4062623326
2019-02-01,1573707.0265153763,-278197.42097829207,1295509.6055370842
2019-02-04,1573995.0337366979,-280736.5592400742,1293258.4744966237
2019-02-05,1573995.0337366979,-283244.05686785415,1290750.9768688437
2019-02-06,1573995.0337366979,-281031.6599574455,1292963.3737792524
2019-02-07,1573995.0337366979,-273162.90867595695,1300832.1250607409
2019-02-08,1573995.0337366979,-269942.8229531224,1304052.2107835754
2019-02-11,1573995.0337366979,-271221.74044373276,1302773.293292965
2019-02-12,1573995.0337366979,-278143.7024235091,1295851.3313131887
2019-02-13,1573901.3409169766,-279818.79319702176,1294082.5477199547
2019-02-14,1573326.4516053686,-278560.1562568685,1294766.2953485001
2019-02-15,1573326.4516053686,-284878.08062809263,1288448.370977276
2019-02-19,1573326.4516053686,-288175.5736738563,1285150.8779315124
2019-02-20,1572957.5755757084,-290595.82760165294,1282361.7479740554
2019-02-21,1572957.5755757084,-285973.3666148602,1286984.2089608482
2019-02-22,1572547.0949029038,-288192.0061729969,1284355.0887299068
2019-02-25,1572547.0949029038,-290122.846421522,1282424.2484813817
2019-02-26,1572547.0949029038,-288458.96841108095,1284088.1264918228
2019-02-27,1572547.0949029038,-286816.26133455103,1285730.8335683527
2019-02-28,1240272.8958317458,45457.937736606604,1285730.8335683525
2019-03-01,1242090.773881117,41512.17921295792,1283602.953094075
2019-03-04,1242090.773881117,40548.10980544251,1282638.8836865597
2019-03-05,1241922.8445930474,42107.001201832165,1284029.8457948796
2019-03-06,1241679.7912522864,46670.741968567294,1288350.5332208537
2019-03-07,1241679.7912522864,51113.51547810471,1292793.3067303912
2019-03-08,1241427.5592640364,53918.300812927344,1295345.8600769637
2019-03-11,1241427.5592640364,51376.97627537591,1292804.5355394122
2019-03-12,1241146.9611103383,51553.041397794084,1292700.0025081325
2019-03-13,1240185.7693203243,51213.831593638315,1291399.6009139626
2019-03-14,1240185.7693203243,52515.71685320621,1292701.4861735306
2019-03-15,1240185.7693203243,52933.49911445103,1293119.2684347753
