,cash,mv,nav
2014-01-06,37954.945746629215,1006015.8810049683,1043970.8267515976
2014-01-07,37954.945746629215,1009882.4798046129,1047837.4255512422
2014-01-08,37954.945746629215,1011125.5838658122,1049080.5296124413
2014-01-09,37954.945746629215,1009328.6720310306,1047283.6177776599
2014-01-10,37954.945746629215,1013980.3947310294,1051935.3404776587
2014-01-13,37954.945746629215,1007495.5712602433,1045450.5170068726
2014-01-14,38403.81774963431,1012951.105866176,1051354.9236158102
2014-01-15,38403.81774963431,1017186.4714784821,1055590.2892281164
2014-01-16,39927.75940389563,1016401.5655380969,1056329.3249419925
2014-01-17,39927.75940389563,1014888.6739365304,1054816.433340426
2014-01-21,39927.75940389563,1018801.4951282842,1058729.2545321798
2014-01-22,39927.75940389563,1020000.5714712124,1059928.330875108
2014-01-23,39927.75940389563,1014961.0861529165,1054888.8455568121
2014-01-24,40757.41156825594,1000137.862409917,1040895.273978173
2014-01-27,41434.87628989803,992122.7173586217,1033557.5936485197
2014-01-28,41434.87628989803,998258.2797208831,1039693.1560107812
2014-01-29,41434.87628989803,994043.2276067751,1035478.1038966732
2014-01-30,41434.87628989803,1000935.4300843895,1042370.3063742876
2014-01-31,35815.64590358342,1006554.6604707012,1042370.3063742846
2014-02-03,35815.64590358342,986005.1942211234,1021820.8401247067
2014-02-04,37435.133557159614,990935.3585195321,1028370.4920766917
2014-02-05,38098.99084740597,988186.008591977,1026284.9994393829
2014-02-06,38098.99084740597,997228.037135236,1035327.027982642
2014-02-07,38098.99084740597,1006873.1312827442,1044972.1221301502
2014-02-10,39248.008920081294,1008065.5489533875,1047313.5578734688
2014-02-11,39248.008920081294,1016679.3916150681,1055927.4005351493
2014-02-12,39248.008920081294,1016821.5193448834,1056069.5282649647
2014-02-13,39248.008920081294,1023633.0923194941,1062881.1012395753
2014-02-14,39248.008920081294,1026729.0618271317,1065977.070747213
2014-02-18,39248.008920081294,1031530.5371973165,1070778.5461173977
2014-02-19,39248.008920081294,1026309.8179475787,1065557.82686766
2014-02-20,39248.008920081294,1032716.9357513712,1071964.9446714525
2014-02-21,39248.008920081294,1033135.6050763896,1072383.6139964708
2014-02-24,39248.008920081294,1039357.6817356299,1078605.690655711
2014-02-25,39248.008920081294,1038770.4665993106,1078018.475519392
2014-02-26,39248.008920081294,1040310.8657825988,1079558.8747026802
2014-02-27,39248.008920081294,1044968.3244269565,1084216.3333470377
2014-02-28,36051.08020031629,1048165.25314672,1084216.3333470363
2014-03-03,36051.08020031629,1044671.2093714816,1080722.289571798
2014-03-04,36051.08020031629,1055532.8580998643,1091583.9383001807
2014-03-05,36391.94644600439,1055568.4683682385,1091960.4148142429
2014-03-06,36391.94644600439,1055856.9788252073,1092248.9252712117
2014-03-07,36391.94644600439,1054449.6751758833,1090841.6216218877
2014-03-10,36391.94644600439,1052168.2797613132,1088560.2262073176
2014-03-11,36391.94644600439,1046615.303647486,1083007.2500934904
2014-03-12,36391.94644600439,1047959.8873997895,1084351.833845794
2014-03-13,36391.94644600439,1039990.4859411753,1076382.4323871797
2014-03-14,36391.94644600439,1040059.6557079229,1076451.6021539273
2014-03-17,36391.94644600439,1043965.0903393306,1080357.036785335
2014-03-18,36391.94644600439,1050061.1968815175,1086453.1433275219
2014-03-19,36731.039810268856,1044718.0670515952,1081449.106861864
2014-03-20,36731.039810268856,1046802.7718126951,1083533.811622964
2014-03-21,36731.039810268856,1044955.0463910549,1081686.0862013237
2014-03-24,36731.039810268856,1038300.4801512981,1075031.519961567
2014-03-25,36731.039810268856,1040041.2368438741,1076772.276654143
2014-03-26,36731.039810268856,1031818.922989299,1068549.962799568
2014-03-27,36731.039810268856,1032094.6285541867,1068825.6683644555
2014-03-28,36731.039810268856,1036088.4751127777,1072819.5149230466
2014-03-31,42946.176254726975,1029873.3386683229,1072819.5149230498
2014-04-01,43299.19310641667,1033068.110573924,1076367.3036803408
2014-04-02,44003.32837537005,1034436.6980346916,1078440.0264100616
2014-04-03,44003.32837537005,1031994.4464876145,1075997.7748629847
2014-04-04,44003.32837537005,1026479.4007524444,1070482.7291278145
2014-04-07,44003.32837537005,1020408.5864135553,1064411.9147889253
2014-04-08,44547.82170042223,1023115.2794113718,1067663.1011117941
2014-04-09,44547.82170042223,1028064.5352787971,1072612.3569792195
2014-04-10,44547.82170042223,1018339.2372059037,1062887.058906326
2014-04-11,44547.82170042223,1012723.2357269995,1057271.0574274217
2014-04-14,44547.82170042223,1015107.7860075387,1059655.607707961
2014-04-15,44547.82170042223,1016539.5789443456,1061087.4006447678
2014-04-16,44547.82170042223,1020983.218184015,1065531.0398844373
2014-04-17,44547.82170042223,1021945.2453648186,1066493.0670652408
2014-04-21,44547.82170042223,1022873.5626431204,1067421.3843435426
2014-04-22,44369.80432031481,1026591.0830228779,1070960.8873431927
2014-04-23,44514.83247847513,1025387.8672115869,1069902.699690062
2014-04-24,44514.83247847513,1025688.7412902811,1070203.5737687561
2014-04-25,44514.83247847513,1020323.562571666,1064838.395050141
2014-04-28,44514.83247847513,1018871.5176076003,1063386.3500860755
2014-04-29,44514.83247847513,1021808.7824356275,1066323.6149141027
2014-04-30,45013.163019479725,1021310.4518946253,1066323.614914105
2014-05-01,47775.819205440755,1017984.1947867259,1065760.0139921666
2014-05-02,47775.819205440755,1018715.8834627635,1066491.7026682042
2014-05-05,47775.819205440755,1018133.924140804,1065909.7433462448
2014-05-06,47775.819205440755,1010974.2689711073,1058750.088176548
2014-05-07,48502.25838627503,1012457.2096598934,1060959.4680461683
2014-05-08,48502.25838627503,1008605.8882477825,1057108.1466340576
2014-05-09,48502.25838627503,1009184.7925211841,1057687.050907459
2014-05-12,48502.25838627503,1020032.2741895951,1068534.5325758702
2014-05-13,48502.25838627503,1018671.5672634934,1067173.8256497686
2014-05-14,48502.25838627503,1013944.2218933576,1062446.4802796326
2014-05-15,48502.25838627503,1006720.4198196878,1055222.6782059628
2014-05-16,48502.25838627503,1009670.4044480771,1058172.662834352
2014-05-19,48502.25838627503,1013501.8116635713,1062004.0700498463
2014-05-20,48502.25838627503,1006572.5665655048,1055074.8249517798
2014-05-21,48502.25838627503,1012300.5184488873,1060802.7768351622
2014-05-22,48502.25838627503,1015810.0311667548,1064312.28955303
2014-05-23,48502.25838627503,1020039.5440622825,1068541.8024485577
2014-05-27,48502.25838627503,1025272.6545459217,1073774.9129321966
2014-05-28,48502.25838627503,1024571.5993481949,1073073.85773447
2014-05-29,48502.25838627503,1028601.5240310358,1077103.7824173109
2014-05-30,48502.25838627503,1027114.8786025087,1075617.1369887837
2014-06-02,48502.25838627503,1026634.5824386737,1075136.8408249486
2014-06-03,48502.25838627503,1026474.7243625048,1074976.98274878
